relative_sec,framework,test_type,http_200,vusers_failed,vusers_created,vusers_completed,request_rate,success_percent,error_percent
200,fastapi-async,breakpoint-write,42,851,935,0,99,0.0,100.0
210,fastapi-async,breakpoint-write,32,935,1033,1,105,0.10683760683760685,99.8931623931624
220,fastapi-async,breakpoint-write,27,1032,1190,0,122,0.0,100.0
230,fastapi-async,breakpoint-write,15,1188,1357,1,139,0.08410428931875526,99.91589571068124
240,fastapi-async,breakpoint-write,7,1349,1523,0,156,0.0,100.0
250,fastapi-async,breakpoint-write,0,1534,1691,0,171,0.0,100.0
260,fastapi-async,breakpoint-write,0,1683,1855,0,186,0.0,100.0
270,fastapi-async,breakpoint-write,0,1861,1872,0,189,0.0,100.0
280,fastapi-async,breakpoint-write,0,2045,1396,0,142,0.0,100.0
290,fastapi-async,breakpoint-write,0,1573,892,0,89,0.0,100.0
300,fastapi-async,breakpoint-write,0,568,198,0,60,0.0,100.0
310,fastapi-async,breakpoint-write,0,174,0,0,0,0.0,100.0
0,fastapi-async,read-heavy,338,0,338,338,50,100.0,0.0
10,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
20,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
30,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
40,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
50,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
60,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
70,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
80,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
90,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
100,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
110,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
120,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
130,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
140,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
150,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
160,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
170,fastapi-async,read-heavy,500,0,500,500,50,100.0,0.0
180,fastapi-async,read-heavy,162,0,162,162,50,100.0,0.0
0,fastapi-async,soak,194,24,98,27,26,52.94117647058824,47.05882352941176
10,fastapi-async,soak,222,47,100,60,30,56.074766355140184,43.925233644859816
20,fastapi-async,soak,175,67,100,41,29,37.96296296296296,62.03703703703704
30,fastapi-async,soak,177,64,100,35,29,35.35353535353536,64.64646464646465
40,fastapi-async,soak,177,64,100,35,28,35.35353535353536,64.64646464646465
50,fastapi-async,soak,190,56,100,34,30,37.77777777777778,62.22222222222222
60,fastapi-async,soak,196,54,100,51,29,48.57142857142857,51.42857142857142
70,fastapi-async,soak,196,55,100,44,29,44.44444444444444,55.55555555555556
80,fastapi-async,soak,184,61,100,41,30,40.19607843137255,59.80392156862745
90,fastapi-async,soak,186,59,100,41,28,41.0,59.0
100,fastapi-async,soak,182,60,100,39,29,39.39393939393939,60.60606060606061
110,fastapi-async,soak,224,39,100,59,30,60.204081632653065,39.795918367346935
120,fastapi-async,soak,199,58,100,42,29,42.0,57.99999999999999
130,fastapi-async,soak,168,76,100,35,28,31.53153153153153,68.46846846846847
140,fastapi-async,soak,194,49,100,28,30,36.36363636363637,63.63636363636363
